STATE,BaseSalary,BaseLeadership,BasePerDay,BasePerWeek,PerDiem,PerDiem2,PerDiemMonthly,PerDiemYearly,PerDiemTravel,BaseSession02,LegDays,CalendarDays,BaseLeadership2,BaseLeadership3
Alabama,42849,0,,,,,,,,,,,,
Alaska,50400,0,,,,,,,,,,,,
Arizona,24000,0,,,,,,,,,,,,
Arkansas,39400,0,,,,,,,,,,,,
California,97197,0,,,,,,,,,,,,
Colorado,30000,0,,,,,,,,,,,,
Connecticut,28000,38689,,,0,,,,.575 per mile,,,,,
Delaware,44541,,,,0,,,,,,,,,
Florida,29697,,,,129,,,,,,,,,
Georgia,17432,,,,173,,,,,,,,,
Hawaii,59004,66504,,,150,10,,,,,,,,
Idaho,16684,20438,,,129,49,,,25 per day,,,,,
Illinois,67836,,,,111,,,,,,,,,
Indiana,24140.16,,,,159,,,,,,,,,
Iowa,25000,,,,148,111,,,,,,,,
Kansas,13476.32,,88.66,,129,,,,,,105,152,,
Kentucky,29550.54,49125.42,188.22,,141.9,,,,,,,,,
Louisiana,22800,,,,150,,,,,,,,,
Maine,14074,,,,108,,,,,9982,,,,
Maryland,45207,58718,,,145,,,,.575 per mile,,,,,
Massachusetts,60032.6,,,,100,,,,,,,,,
Michigan,71685,,,,,,,10800,,,,,,
Minnesota,31140.9,,,,86,66,,,,,,,,
Mississippi,10000,,,,129,,,,,,,,,
Missouri,35915,,,,103.2,,,,,,,,,
Montana,7189.68,,82.64,,112.85,,,,,,87,,,
Nebraska,12000,,,,129,46,,,0.56 per mile,,,,,
Nevada,8777.4,,146.29,,152,,,,,,60,,,
New Hampshire,100,,,,0,,,,,100,,,,
New Jersey,49000,65333,,,0,,,,,,,,,
New Mexico,0,,,,165,,,,,,,,,
New York,79500,,,,172,61,,,,,,,,
North Carolina,13951,17048,,,104,,,,.29 per mile,,,,21739,38151
North Dakota,13360,,167,,,,1569,,,,80,,,
Ohio,60584,,,,0,,,,,,,,,
Oklahoma,38400,,,,160,,,,,,,,,
Oregon,23052,,,,129,,,,,,,,,
Pennsylvania,85338.65,,,,159,,,,,,,,,
Rhode Island,15171,,,,0,,,,,,,,,
South Carolina,10400,,,,140,,,,,,,,,
South Dakota,6000,,129,,129,,,,,,,,,
Tennessee,20884,,,,198,,,,,,,,,
Texas,7200,,,,190,,,,,,,,,
Utah,12285,,273,,100,39,,,0.56 per mile,,45,,,
Vermont,,,135.31,676.56,110,61,,,,,89,130,,
Virginia,17640,18000,,,180,179,,,,,,,,
Washington,42106,,,,120,,,,,,,,,
West Virginia,20000,,,,131,,,,,,,,,
Wisconsin,50950,,,,88,138,,,,,,,,
Wyoming,7950,,150,,109,,,,,,36,53,,