"NAME","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"Alabama",9648.35311992995,4855.74927248848,4792.60384744148,1462.58401792382,840.689140120007,621.894877803816,3082.32082614406,1727.71239473616,1354.6084314079,4381.73624166259,2017.33666400556,2364.39957765703,721.71203419948,270.011073626742,451.700960572738,12865.4322577322,6279.76616620741,6585.66609152481,11180.5310190312,5316.70057428343,5863.83044474775,3319.61577090469,1399.66521593572,1919.95055496897,12612.4591177152,6121.17122917257,6491.28788854266,10890.2680847776,5104.56078906029,5785.70729571734,3411.58352862404,1422.47173649919,1989.11179212485,26447.7350570421,12778.2235842497,13669.5114727924,22716.3245860266,10780.8091473307,11935.5154386959,6283.68056449744,2932.70840308001,3350.97216141742,15695.6452319023,6784.37330998429,8911.27192191806,12597.337179058,5552.63578069069,7044.70139836728,3320.02781282996,1789.66289819989,1530.36491463006,4853875,4863300,25.2931822699265
"Alaska",11185.7114390634,6542.28157715305,4643.42986191032,1684.53956776995,1059.36080487021,625.178762899734,4258.58976913661,2505.59502459642,1752.99474454019,4592.86791946418,2692.79621097208,1900.0717084921,649.714182692633,284.529536714341,365.184645978292,16100.9286859724,8666.4253791129,7434.50330685948,14955.3550248133,8052.22655545751,6903.1284693558,4563.85919109025,2171.31687426885,2392.5423168214,12424.4112515911,6476.53749649252,5947.87375509856,11681.7064723353,6096.71293152178,5584.99354081352,3635.85099273562,1627.60654946598,2008.24444326964,25495.2833705431,13227.0312548715,12268.2521156716,23862.1190740522,12369.3760005639,11492.7430734883,7799.14573361583,3854.22978437297,3944.91594924286,9625.47562792375,4750.92482266043,4874.55080526332,8454.55321813886,4229.58104076269,4224.97217737617,2899.65284414315,1543.29146045392,1356.36138368923,737709,741894,81.8176181503018
"Arizona",9821.43917953111,5072.66157345034,4748.77760608076,1674.89418876094,983.400965007301,691.493223753642,2982.17912113783,1661.25295468397,1320.92616645386,4441.13110766087,2128.7952516771,2312.33585598377,723.234761971466,299.212402081975,424.022359889491,13417.708522031,6914.93223753642,6502.77628449454,11667.9782297639,5900.90450182727,5767.07372793659,3535.67586080954,1594.92428748387,1940.75157332567,12398.4736485827,6242.77142938865,6155.7022191941,10404.5359303505,5149.28717217951,5255.24875817099,3560.91947784876,1698.15762665996,1862.7618511888,24303.6186673688,11788.0650936221,12515.5535737466,21028.431705455,10107.7877511986,10920.6439542564,6773.65012288112,3292.48052640496,3481.16959647616,16428.2115388705,7555.07281558738,8873.13872328317,14191.9585658516,6649.16286093349,7542.79570491811,4574.00846196553,2530.25823736187,2043.75022460365,6817565,6931071,26.1611805736805
"Arkansas",9551.88184238779,4860.07872114574,4691.80312124205,1219.30128854581,680.691760137253,538.609528408555,3027.44964241015,1731.98609870937,1295.46354370078,4617.58857807958,2170.42278446921,2447.16579361036,687.542333352251,276.9780778299,410.564255522351,12941.9081465741,6393.16312793143,6548.74501864263,11471.8557296146,5577.94491534673,5893.91081426786,3124.16361721012,1325.18294220702,1798.9806750031,12341.0725781293,6125.92361006403,6215.14896806525,10843.5842870686,5316.38062725057,5527.203659818,3095.65314338888,1355.10382816076,1740.54931522812,25414.7870966095,12405.3470738818,13009.4400227278,21854.3024118383,10432.8185440987,11421.4838677396,5339.88749612556,2357.94043560915,2981.94706051642,16055.6615789967,7130.13704840366,8925.52453059301,12842.7427411628,5749.47789565167,7093.26484551118,2993.76765743641,1622.24260230441,1371.525055132,2977853,2988248,42.5304950146931
"California",10112.1789693475,5225.69147924011,4886.48749010744,1258.60325989115,760.536124331114,498.067135560038,2991.4930371232,1688.84447173074,1302.64856539247,4883.70500647024,2362.07728688099,2521.62771958925,978.377665862952,414.233596297271,564.144069565681,14957.996037333,7680.27801242962,7277.71802490336,13023.0210130087,6557.64972711144,6465.37128589724,5090.94490066918,2359.38199627942,2731.56290438976,13310.7093050869,6672.03416736036,6638.67513772653,10824.3998939322,5348.89267409244,5475.5072198398,4619.11004633028,2165.42365300865,2453.68639332163,25318.3520311105,12448.2650381059,12870.0869930046,20567.0752942637,10054.4546152556,10512.6206790081,7863.87833596708,3907.18660386717,3956.69173209991,13308.6269302358,5894.64414214106,7413.98278809477,10572.901840645,4796.26834323487,5776.63349741011,4008.1125426156,2141.54045474758,1866.57208786801,38993940,39250017,6.49235387592316
"Colorado",9689.23724572242,5101.3256267092,4587.91161901322,1296.02396409204,736.361402351592,559.662561740443,2894.75572596557,1681.83233834708,1212.92338761849,4420.16884759798,2264.80270311787,2155.36614448012,1078.28870806683,418.32918289266,659.959525174171,15180.1151772522,7867.1176267738,7312.99755047837,13981.9105754843,7157.56937420751,6824.34120127683,5963.25552381167,2732.79402380589,3230.46150000578,13544.0175201268,6961.58195014369,6582.43556998315,12178.730840573,6173.28268749613,6005.44815307684,5856.00292467047,2751.77061304477,3104.23231162569,25604.7227848824,12675.1136347161,12929.6091501663,23597.0400191308,11631.4562843802,11965.5837347506,9887.24345587548,4854.42808799485,5032.81536788064,13059.1968644949,5939.26867455131,7119.92818994355,11686.8260810278,5393.90278884287,6292.92329218497,4735.48488213685,2600.96729217836,2134.51758995848,5448819,5540545,31.1371294099528
"Connecticut",9842.94493588081,5073.12963598374,4769.81529989706,1059.52191657391,694.975632753373,364.546283820539,2721.68336248476,1557.49526463639,1164.18809784837,4611.0864695528,2191.82476783468,2419.26170171812,1450.65318726933,628.833970759304,821.81921651003,12351.7252345365,6229.06048712176,6122.66474741473,11390.0907460255,5666.31238614903,5723.77835987648,5403.58688102033,2435.05089644129,2968.53598457903,12065.1764568043,5887.80744993347,6177.36900687081,11088.4780722676,5313.67773863025,5774.8003336374,5043.64345431874,2244.74367665068,2798.89977766805,28848.8951748109,13972.6283429993,14876.2668318116,26502.8607454397,12709.436972938,13793.4237725017,11062.3394230528,5244.38381691229,5817.95560614049,15769.1932167834,6800.76323739863,8968.42997938478,13295.2272556092,5773.87976221361,7521.3474933956,4937.16402630045,2610.43370072502,2326.73032557543,3584730,3576452,15.08245229257
"Delaware",9437.58765184159,4766.35355628149,4671.2340955601,1331.88429745063,787.542528355768,544.341769094861,2895.95329189599,1518.09811921922,1377.85517267678,4173.28689639393,1972.51068769887,2200.77620869506,1036.46316610103,488.202221007631,548.260945093404,13171.3972180206,6469.39441316165,6702.00280485893,11589.8508170952,5616.07328223575,5973.77753485948,4329.73616530872,1923.67987323054,2406.05629207818,11728.6108321788,5709.81573517386,6018.7950970049,10436.3419894161,5018.3459806202,5417.9960087959,4140.76832797359,1682.91535850927,2457.85296946432,27194.5267118325,12924.912824815,14269.6138870176,24725.9754511289,11436.155563747,13289.8198873819,8454.0863235587,3924.89587702685,4529.19044653185,17035.0692105297,7622.58546981387,9412.48374071579,14713.328164258,6543.43506243141,8169.89310182655,4464.47108071808,2469.39865010868,1995.0724306094,944076,952065,12.542911110761
"Florida",8762.70454890547,4505.96628861945,4256.73826028602,1437.00783317726,849.981382978461,587.026450198801,2602.66356280891,1474.20236015821,1128.4612026507,3953.68930685505,1877.05415789862,2076.63514895642,769.343846064251,304.728387584161,464.61545848009,12809.404870774,6438.17503991373,6371.22983086023,11489.3548078298,5635.4450307865,5853.90977704326,3724.05138396735,1607.08017826107,2116.97120570628,12168.3500359646,6026.19502359951,6142.15501236508,10786.7635298426,5218.43165152492,5568.33187831769,3734.41942010719,1639.78962815056,2094.62979195664,26635.4453271572,12825.9374181585,13809.5079089988,23596.0794893967,11175.7402377703,12420.3392516264,7536.81146780866,3628.25942357671,3908.55204423195,19487.5265955686,8749.6099020228,10737.9166935458,16430.0129899292,7500.56532717304,8929.44766275619,5218.87126811208,2944.61611444731,2274.25515366477,20244914,20612439,15.5072219578996
"Georgia",10085.6834883784,5127.98892640526,4957.69456197317,1654.66628520624,969.998425397264,684.667859808981,3213.47397169911,1765.52576926599,1447.94820243312,4406.97578425707,2062.54329912412,2344.43248513295,810.567447216002,329.921432617886,480.646014598116,13562.2514191524,6708.70967090411,6853.54174824828,11858.1312348043,5690.85547990185,6167.2757549024,4172.19722183603,1753.4172114864,2418.78001034963,13610.5385827673,6568.9171066763,7041.62147609104,11824.0998145185,5582.16279039214,6241.93702412633,4533.21852917202,1977.87163516906,2555.34689400296,25585.3041522647,12302.9908235761,13282.3133286886,22489.474378782,10620.4503442262,11869.0240345558,7713.85722961296,3669.52049522923,4044.33673438374,12772.9009104263,5526.38498860423,7246.51592182205,10282.9108149324,4520.52170137885,5762.38911355357,3190.83538067639,1712.30694203717,1478.52843863922,10199398,10310371,19.256500727924
"Hawaii",9436.36385324564,5288.18930124891,4148.17455199673,597.758703076222,278.074626163995,319.684076912228,3621.42556925307,2348.09217510772,1273.33339414535,4452.28139776881,2386.6844144189,2065.5969833499,764.898183147541,275.338085558293,489.560097589248,15184.0113054211,8213.20037020483,6970.81093521626,14473.5632635562,7785.59835863698,6687.96490491925,4773.01799029861,2237.08686130721,2535.9311289914,12474.2045964059,6403.7856881733,6070.41890823257,11515.0120302535,5807.64084237737,5707.37118787614,4310.40229251935,1961.60844033324,2348.79385218611,24880.6271870397,12325.1683849569,12555.4588020829,22969.8201671816,11343.9431585432,11625.8770086383,7825.80445522844,3760.28746306547,4065.51699216297,16640.4824170249,7493.7006940288,9146.78172299613,13906.1871779741,6435.29098899279,7470.89618898128,4786.20951937225,2468.78063258995,2317.4288867823,1425157,1428557,7.30340709774502
"Idaho",9484.77397527147,4825.12396934224,4659.65000592923,1320.28257023719,749.200763781833,571.08180645536,3266.28058091949,1852.46135714061,1413.81922377888,4402.4544598712,1987.62363657924,2414.83082329196,495.756364243587,235.838211840554,259.918152403033,13117.5173702285,6641.70742509202,6475.80994513646,11848.9038181831,5940.60604007193,5908.29777811121,3293.6881514592,1585.10141406123,1708.58673739796,12373.035790778,6234.58702296912,6138.44876780887,11114.4656310275,5484.66023082862,5629.80540019893,3673.46148540562,1793.29004590919,1880.17143949643,24285.8301045239,12027.2042825993,12258.6258219246,22116.6388759145,10865.8614205471,11250.7774553674,6185.70111348549,3131.84432983952,3053.85678364597,14718.0468869114,6909.18837289785,7808.85851401356,12968.8630637913,6133.60857875109,6835.25448504019,3600.9796542653,2091.56669659517,1509.41295767013,1652828,1683140,56.7490919749199
"Illinois",9641.46326436845,4896.11884745028,4745.34441691817,1201.1093969825,693.369219693642,507.74017728886,2782.51960601126,1521.71730503051,1260.80230098075,4449.224307692,2150.3620946321,2298.86221305989,1208.6099536827,530.670228094032,677.939725588667,13811.0873805509,6926.62002094081,6884.4673596101,12625.9682669594,6210.67903248582,6415.28923447355,5523.3538750968,2505.57537487011,3017.77850022669,13027.4856069925,6502.77236308894,6524.71324390354,11589.9723710023,5734.17949167099,5855.79287933131,4869.22432794272,2273.97718849382,2595.2471394489,26387.4413731798,12910.5220971619,13476.9192760179,23626.5277321596,11438.24771418,12188.2800179795,8369.60095246945,3983.93276385701,4385.66818861244,14239.5693387523,6162.91068955507,8076.65864919725,11899.7850852949,5184.27886431135,6715.50622098354,3463.30222173032,1809.70596960974,1653.59625212058,12839047,12801539,15.8620251309888
"Indiana",10228.2886682249,5208.30308881243,5019.98557941243,1631.87336982032,939.42506375545,692.448306064873,3196.95171522727,1775.97338966073,1420.97832556654,4440.34933631423,2077.08783976695,2363.26149654729,959.114246863038,415.816795629304,543.297451233734,12733.2759897217,6357.20170433924,6376.07428538246,11280.7223843329,5557.61218297693,5723.11020135592,3741.57992538072,1654.60212727862,2086.9777981021,12439.5412027157,6224.2921572328,6215.24904548292,11178.6017595052,5546.31585441981,5632.28590508543,3556.36247937324,1528.05905182217,2028.30342755106,26216.3892639209,12863.5088967283,13352.8803671927,23569.1922051401,11430.5537408843,12138.6384642558,6410.26571626284,3154.89670891221,3255.36900735063,14597.8809478875,6375.33329462035,8222.54765326713,12183.6725558798,5378.38315210816,6805.28940377161,2746.62592124811,1462.60990858896,1284.01601265915,6612768,6633053,22.1127435586599
"Iowa",10270.4134565152,5301.86287815139,4968.55057836378,1118.29063256627,675.625248839124,442.665383727146,2679.27867963999,1518.51523239772,1160.76344724226,5453.36846896394,2691.41834537317,2761.95012359077,1019.47567534498,416.304051541369,603.17162380361,12580.1530238498,6367.17460010372,6212.97842374608,11721.7281118464,5891.70969735077,5830.01841449559,4216.62801085331,1836.77306544497,2379.85494540834,11789.2169659356,5964.09926082568,5825.1177051099,10887.4544081881,5463.81050334129,5423.6439048468,3959.19662959317,1794.26821998868,2164.92840960449,26026.3222546338,12978.6479615451,13047.6742930887,24167.7362278055,11908.5636533283,12259.1725744772,6484.27913287553,3035.33283343962,3448.94629943591,16052.2896082219,7093.0241124511,8959.26549577082,14172.4992048359,6207.8855296786,7964.61367515728,3167.94026387597,1723.64034943019,1444.29991444579,3121997,3134693,41.051335276958
"Kansas",10421.6400542054,5507.82135609162,4913.81869811379,1300.12477977763,778.574895905042,521.549883872584,3090.35507707826,1766.52661194521,1323.82846513305,5101.17758119888,2560.82369102504,2540.35389017384,929.982616150638,401.896157216327,528.086458934311,13227.9293403116,6769.62116419154,6458.3081761201,11905.3393841377,6004.36023959644,5900.97914454122,4709.94636224116,2150.49879228175,2559.44756995941,11945.7629404404,6033.39639408117,5912.36654635928,10773.4798076596,5371.17253427488,5402.30727338468,4199.37104386696,1952.85340423109,2246.51763963586,25138.2227602856,12447.0494416217,12691.1733186639,23044.5233649876,11288.6651316036,11755.8582333839,7928.03987723624,3822.55469307168,4105.48518416456,14657.4783063115,6463.57183919613,8193.90646711535,12924.3570332344,5731.7850595224,7192.57197371196,3772.22306509638,1993.93061804005,1778.29244705632,2906721,2907289,38.5009310506569
"Kentucky",9621.61419388055,4937.69960794294,4683.91458593761,1364.48153295284,831.101310375082,533.380222577759,3351.00645005855,1909.11698226127,1441.88946779728,4184.68425811896,1866.01714817416,2318.66710994481,721.441952750196,331.464167132433,389.977785617764,12690.4263448244,6323.086933518,6367.33941130644,11485.5746640778,5621.91794939713,5863.65671468068,3486.00136825588,1474.02788629328,2011.9734819626,12734.9500328955,6390.48268876066,6344.46734413489,11304.1123841169,5590.07334204069,5714.03904207624,3469.16372987365,1485.41871816528,1983.74501170837,26887.9682304275,13143.4605211622,13744.5077092653,23109.7603834552,11026.0992435267,12083.6611399285,5944.83899262557,2730.02530617946,3214.81368644611,15235.8704527923,6684.40683260065,8551.4636201917,11615.8008014716,5070.66044902026,6545.14035245132,2834.12485300968,1490.84292381861,1343.28192919106,4424611,4436974,31.8366376123307
"Louisiana",9836.96583393304,5038.50964668791,4798.45618724512,1640.42956033035,955.758884205476,684.670676124876,3221.98091223741,1825.73849422569,1396.24241801172,4244.13573900826,1933.74970014736,2310.3860388609,730.419622357013,323.262568109386,407.157054247627,14362.9416401083,7018.65083444707,7344.29080566122,12495.5022103423,5902.62071210719,6592.88149823515,3800.9963674994,1656.51451286796,2144.48185463144,12381.172680854,6188.57304410404,6192.59963674994,10688.6330146328,5210.81782666804,5477.81518796477,3126.99187827696,1283.41215174257,1843.57972653439,25551.1934135225,12321.9946197868,13229.1987937356,21871.6802028717,10173.0363935437,11698.643809328,5641.89883828519,2500.66395942565,3141.23487885953,13999.0062026661,6088.22949864638,7910.77670401974,11027.0167232103,4784.74863781227,6242.26808539803,2809.51218258456,1404.61687399335,1404.89530859121,4668960,4681666,26.0359595636824
"Maine",8441.74258134737,4366.45748288958,4075.28509845779,1009.7385917366,539.018679110882,470.719912625719,2621.30364894434,1373.19634466205,1248.10730428229,4001.72100856518,2046.93208409775,1954.78892446743,808.979332101248,407.310375018899,401.668957082349,11430.5658041315,5591.7734587082,5838.79234542327,10637.7585367817,5176.64031748396,5461.11821929771,3726.87112669647,1591.63204716526,2135.23907953121,11483.8207894525,5662.55444908545,5821.26634036705,10943.7490456601,5332.9452037793,5610.80384188083,3875.57890350392,1550.33686786972,2325.2420356342,30541.5836437994,14890.5602529762,15651.0233908231,28307.5821409256,13467.7946493784,14839.7874915473,8449.56534755271,3764.02926617188,4685.53608138084,18847.4507936723,8519.66936777757,10327.7814258947,16426.9816232691,7400.1111735428,9026.87044972632,5727.84445933779,3038.46770062575,2689.37675871204,1329453,1331479,38.866553659502
"Maryland",9277.47418132795,4725.91832203694,4551.55585929101,1017.95117684237,602.887447720869,415.0637291215,2661.77568810454,1500.00425355668,1161.77143454785,4304.7328074158,2063.67557672807,2241.05723068773,1293.01450896525,559.351044031318,733.663464933929,13913.8509650486,6876.96695720405,7036.88400784456,12601.2200535014,6083.33668335673,6517.88337014467,5625.75406802655,2476.38733921347,3149.36672881308,12839.5526726264,6247.90762542613,6591.6450472003,11648.3899954345,5565.70385604096,6082.68613939356,5660.53314913487,2537.52179113769,3123.01135799718,27550.353353796,13148.3608877623,14401.9924660337,25130.68010368,11861.3847612245,13269.2953424555,10657.1444823113,4987.75392690855,5669.39055540274,14128.2302218372,6094.49601441739,8033.73420741977,11951.3266342874,5222.86718744657,6728.4594468408,4605.6677725358,2425.84507745894,2179.82269507687,5994983,6016447,9.81060748976929
"Massachusetts",10326.6393877575,5162.87749254154,5163.76189521597,1052.73398346757,650.271806421943,402.462177045623,2838.53460372864,1588.74096435268,1249.79363937597,4648.31727651144,2130.43760244331,2517.87967406813,1787.05352404986,793.427119323609,993.626404726248,13881.8202186243,6886.22454394302,6995.59567468132,12987.8512552622,6337.32002405575,6650.53123120644,7063.38513967666,3213.88983880287,3849.49530087379,12361.0455998019,6063.22889520418,6297.81670459771,11357.8971262809,5542.35994009646,5815.53718618445,5711.78201242881,2621.28108675401,3090.5009256748,27741.3387498084,13420.5452637289,14320.7934860795,25266.9569472778,12104.1413629235,13162.8155843543,11051.0683584307,5251.21457967289,5799.85377875783,15391.9377852199,6611.20479228329,8780.73299293657,12992.6122896596,5616.07490301051,7376.53738664906,4941.74734384397,2555.03932643892,2386.70801740504,6784240,6811779,7.19342186527191
"Michigan",9945.88975383947,5069.01035167879,4876.87940216068,1292.82803549003,776.993490940201,515.834544549828,2872.7988251326,1611.2380724794,1261.56075265321,4814.82881893662,2259.8955505376,2554.93326839902,965.434074280215,420.883237721592,544.550836558623,12316.929857331,6199.28078191398,6117.64907541707,11233.2124889655,5588.16219260182,5645.05029636363,3890.52316990355,1741.70159154604,2148.82157835751,11851.5908150214,5880.63883666752,5970.95197835388,10814.1744343329,5306.97847235981,5507.1959619731,3814.1043577074,1748.01352932606,2066.09082838134,27836.4623302848,13631.4463563432,14205.0159739416,25505.5826871411,12337.6604389217,13167.9222482195,7445.47509179282,3577.87050747072,3867.60458432209,15836.7224708514,7011.87723180188,8824.84523904952,13604.7365749066,6040.73619780363,7564.00037710299,3709.81622278922,1998.19212389144,1711.62409889778,9917715,9928300,21.949880644219
"Minnesota",9225.11621204811,4682.37197522634,4542.74423682178,1213.62131972381,688.380254394261,525.241065329548,2535.29681610452,1457.94706184387,1077.34975426065,4289.31669960519,2052.15383310518,2237.16286650001,1186.88137661459,483.890825883025,702.990550731564,13601.8210886221,6881.66845571356,6720.15263290855,12701.8377782865,6365.20086421453,6336.63691407194,5537.64887317406,2528.93103155806,3008.717841616,12329.1384211578,6236.11588646286,6093.02253469489,11467.5869390152,5766.47055551046,5701.11638350477,4932.29741893885,2227.84219055949,2704.45522837936,26891.8646550301,13399.1921472849,13492.6725077452,25368.1074194222,12543.8058089152,12824.301610507,9011.52498844036,4334.53383396246,4676.99115447789,14682.4905356835,6587.43788116047,8095.05265452304,13092.1023231466,5853.01968924392,7239.08263390264,3938.90670842427,2073.05695370761,1865.84975471665,5482435,5519952,26.2547572877445
"Mississippi",10436.5439102961,5240.29986050666,5196.24404978942,1644.41575037048,995.688083522056,648.727666848421,3014.36078932491,1630.26570638157,1384.09508294334,5133.65603016,2340.87890840606,2792.77712175394,644.111340440692,273.46716219697,370.644178243722,12508.2709181472,6186.88093557549,6321.3899825717,10939.3555206915,5240.03224738157,5699.32327330994,2890.89078373849,1173.98532811042,1716.90545562807,12895.1725937399,6256.46034809777,6638.71224564209,11133.6091978631,5143.59116742881,5990.0180304343,2867.47463529349,1182.71620631634,1684.75842897715,25154.5633055573,12061.6915156604,13092.8717898969,21125.3131909854,9783.83549821201,11341.4776927734,4947.96597299115,2080.99311230719,2866.97286068395,14750.8689063655,6355.34339781695,8395.52550854857,11312.1071522953,4881.89898273561,6430.20816955968,2895.07223881795,1451.13217077732,1443.94006804064,2989390,2988726,31.4069160795157
