"NAME","LicCount","POPESTIMATE2016","LicCountMonthly","perCapitaFFL.2016","perCapitaFFL","REGION","DIVISION","STATE","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","RBIRTH2016","RDEATH2016","RNATURALINC2016","RINTERNATIONALMIG2016","RDOMESTICMIG2016","RNETMIG2016"
"California",30579,39250017,2548.25,77.9082465110779,6.49235387592316,"4","9",6,256077,502848,273850,228998,142553,-109023,33530,-6451,12.853337671,6.9999016026,5.8534360679,3.6438085564,-2.786745563,0.8570629934
"Texas",75956,27862596,6329.66666666667,272.609199803206,22.7174333169338,"3","7",48,432957,404533,192814,211719,91839,125703,217542,3696,14.632542888,6.9743608664,7.6581820214,3.3219492755,4.5468590662,7.8688083417
"Florida",38357,20612439,3196.41666666667,186.086663494796,15.5072219578996,"3","5",12,367525,222793,201485,21308,118831,207155,325986,20231,10.905894956,9.8628513697,1.0430435863,5.8168721797,10.14040239,15.957274569
"New York",19935,19745289,1661.25,100.960791204423,8.41339926703529,"1","2",36,-1894,236507,160713,75794,118478,-191367,-72889,-4799,11.97732064,8.1389182222,3.8384024176,6.0000295753,-9.691315347,-3.691285772
"Illinois",24367,12801539,2030.58333333333,190.344301571866,15.8620251309888,"2","3",17,-37508,155238,108040,47198,30934,-114144,-83210,-1496,12.108771617,8.4272644939,3.6815071231,2.4128933715,-8.903384657,-6.490491286
"Pennsylvania",30633,12784227,2552.75,239.615582545585,19.9679652121321,"1","2",42,-7677,140897,133053,7844,34678,-45565,-10887,-4634,11.01785098,10.404466571,0.6133844091,2.7117471364,-3.563087787,-0.85134065
"Ohio",29632,11614373,2469.33333333333,255.132153926863,21.2610128272386,"2","3",39,9283,138012,115938,22074,19591,-27558,-7967,-4824,11.887613422,9.9862774604,1.9013359611,1.6874636593,-2.373698306,-0.686234647
"Georgia",23825,10310371,1985.41666666667,231.078008735088,19.256500727924,"3","5",13,110973,130862,81525,49337,23831,36781,60612,1024,12.760943334,7.9498701326,4.8110732013,2.3238682015,3.5866810592,5.9105492607
"North Carolina",28769,10146788,2397.41666666667,283.528147035298,23.6273455862749,"3","5",37,111602,120778,89721,31057,20494,59584,80078,467,11.968898582,8.8912016238,3.0776969587,2.0309212568,5.9046751324,7.9355963891
"Michigan",26151,9928300,2179.25,263.398567730629,21.949880644219,"2","3",26,10585,113437,94353,19084,22511,-27839,-5328,-3171,11.431715637,9.5085083832,1.9232072534,2.2685662588,-2.805500248,-0.536933989
"New Jersey",3957,8944469,329.75,44.2396300998975,3.68663584165812,"1","2",34,9048,102166,74762,27404,50087,-66791,-16704,-1652,11.428034513,8.3626912694,3.0653432432,5.6026071749,-7.471075046,-1.868467871
"Virginia",20580,8411808,1715,244.65608344841,20.3880069540341,"3","5",51,44221,102366,66558,35808,32545,-25343,7202,1211,12.201393435,7.9333015285,4.2680919068,3.8791625085,-3.020728697,0.8584338112
"Washington",14427,7288000,1202.25,197.955543358946,16.4962952799122,"4","9",53,127710,89982,55979,34003,24410,67571,91981,1726,12.455730055,7.7488754725,4.7068545828,3.3789465743,9.3534944274,12.732441002
"Arizona",21759,6931071,1813.25,313.934166884166,26.1611805736805,"4","8",4,113506,87204,56564,30640,14861,61544,76405,6461,12.685476581,8.2283071572,4.4571694239,2.161814452,8.9527426575,11.11455711
"Massachusetts",5880,6811779,490,86.3210623832629,7.19342186527191,"1","1",25,27539,72024,57563,14461,40898,-25606,15292,-2214,10.594866041,8.4676257072,2.1272403341,6.0161728224,-3.766690823,2.2494819991
"Tennessee",18427,6651194,1535.58333333333,277.048000704836,23.0873333920697,"3","6",47,56138,81443,65454,15989,9440,30519,39959,190,12.296763235,9.8826460319,2.414117203,1.4253090497,4.607945645,6.0332546947
"Indiana",17601,6633053,1466.75,265.352922703919,22.1127435586599,"2","3",18,20285,83267,60909,22358,11052,-12135,-1083,-990,12.572569114,9.196711929,3.3758571854,1.6687527334,-1.832276006,-0.163523273
"Missouri",26691,6093000,2224.25,438.060068931561,36.5050057442967,"2","4",29,16796,74423,58723,15700,8413,-6250,2163,-1067,12.231366982,9.6510831768,2.5802838049,1.382670551,-1.027183043,0.3554875076
"Maryland",7083,6016447,590.25,117.727289877232,9.81060748976929,"3","5",24,21464,73321,50036,23285,26408,-26232,176,-1997,12.208538034,8.331397677,3.8771403571,4.3971450527,-4.367839633,0.0293054199
"Wisconsin",18875,5778708,1572.91666666667,326.63010486081,27.2191754050675,"2","3",55,10817,66079,49823,16256,7990,-12395,-4405,-1034,11.445621347,8.6299004581,2.8157208889,1.3839573021,-2.146952536,-0.762995233
"Colorado",20702,5540545,1725.16666666667,373.645552919433,31.1371294099528,"4","8",8,91726,67453,37121,30332,10557,50216,60773,621,12.276051644,6.7558049765,5.5202466676,1.9213122798,9.1390184182,11.060330698
"Minnesota",17391,5519952,1449.25,315.057087452934,26.2547572877445,"2","4",27,37517,69190,41938,27252,13644,-1762,11882,-1617,12.577270732,7.6234366233,4.9538341089,2.4801890717,-0.320294133,2.1598949392
"South Carolina",13354,4961119,1112.83333333333,269.173144203959,22.4310953503299,"3","5",45,66285,57926,47514,10412,5760,47084,52844,3029,11.754520339,9.6416855884,2.1128347507,1.1688367426,9.5544286788,10.723265421
"Alabama",14761,4863300,1230.08333333333,303.518187239117,25.2931822699265,"3","6",1,9425,58556,52405,6151,4738,-864,3874,-600,12.052062456,10.786056647,1.2660058093,0.9751805437,-0.177829462,0.797351082
"Louisiana",14627,4681666,1218.91666666667,312.431514764189,26.0359595636824,"3","7",22,12706,63570,45030,18540,7223,-12243,-5020,-814,13.596950621,9.6314407185,3.9655099028,1.5449233025,-2.618648206,-1.073724904
"Kentucky",16951,4436974,1412.58333333333,382.039651347968,31.8366376123307,"3","6",21,12363,55198,44883,10315,6734,-3429,3305,-1257,12.457816519,10.129790551,2.3280259683,1.5198184072,-0.773902186,0.7459162215
"Oregon",17350,4093465,1445.83333333333,423.846301360828,35.3205251134023,"4","9",41,68831,46198,35371,10827,6934,50038,56972,1032,11.38148229,8.7141090543,2.667373236,1.7082817049,12.327516577,14.035798282
"Oklahoma",18364,3923561,1530.33333333333,468.044207800006,39.0036839833339,"3","7",40,16147,53175,39588,13587,6716,-3822,2894,-334,13.580684398,10.11061841,3.470065988,1.7152398009,-0.976123663,0.7391161382
"Connecticut",6473,3576452,539.416666666667,180.98942751084,15.08245229257,"1","1",9,-8278,35848,30638,5210,17058,-29880,-12822,-666,10.011755043,8.5566879881,1.4550670546,4.7640180071,-8.344991092,-3.580973085
"Iowa",15442,3134693,1286.83333333333,492.616023323496,41.051335276958,"2","4",19,12696,39349,28739,10610,6336,-3392,2944,-858,12.578216277,9.1866466135,3.3915696638,2.0253520632,-1.084279387,0.9410726758
"Utah",11105,3051217,925.416666666667,363.953137387475,30.3294281156229,"4","8",49,60585,51444,16447,34997,5634,19778,25412,176,17.029224001,5.4443598309,11.58486417,1.8649919917,6.547002416,8.4119944077
"Mississippi",11264,2988726,938.666666666667,376.882992954188,31.4069160795157,"3","6",28,-664,37880,31006,6874,2223,-9690,-7467,-71,12.672888917,10.373167734,2.2997211831,0.7437125676,-3.241824013,-2.498111445
"Arkansas",15251,2988248,1270.91666666667,510.365940176317,42.5304950146931,"3","7",5,10395,37936,30581,7355,3335,195,3530,-490,12.717183299,10.251586421,2.4655968781,1.1179830848,0.0653693258,1.1833524106
"Nevada",7452,2940058,621,253.464387437255,21.1220322864379,"4","8",32,56300,36462,23771,12691,7392,34575,41967,1642,12.521686812,8.1633760407,4.3583107708,2.5385417396,11.873658096,14.412199836
"Kansas",13432,2907289,1119.33333333333,462.011172607883,38.5009310506569,"2","4",20,568,38702,25128,13574,5851,-18595,-12744,-262,13.313358594,8.6439479808,4.6694106133,2.0127244363,-6.396617825,-4.383893389
"New Mexico",8291,2081015,690.916666666667,398.411352152675,33.200946012723,"4","8",35,687,25491,17799,7692,2637,-9748,-7111,106,12.251333284,8.5544498495,3.696883434,1.2673793052,-4.685025964,-3.417646659
"Nebraska",8228,1907116,685.666666666667,431.436787274607,35.9530656062173,"2","4",31,13351,26553,15355,11198,4187,-2144,2043,110,13.972023854,8.0797057314,5.8923181231,2.2031734222,-1.128159498,1.0750139244
"West Virginia",10736,1831102,894.666666666667,586.313596948723,48.8594664123936,"3","5",54,-9951,19799,22479,-2680,1076,-7659,-6583,-688,10.783313885,12.242947261,-1.459633376,0.5860319077,-4.171392547,-3.58536064
"Idaho",11462,1683140,955.166666666667,680.989103699039,56.7490919749199,"4","8",16,30312,22792,12496,10296,1726,17143,18869,1147,13.664399659,7.4916785773,6.1727210813,1.0347821082,10.277676524,11.312458633
"Hawaii",1252,1428557,104.333333333333,87.6408851729402,7.30340709774502,"4","9",15,3400,18507,12237,6270,7438,-10021,-2583,-287,12.970465856,8.5761922884,4.3942735677,5.2128559484,-7.023128456,-1.810272508
"New Hampshire",5961,1334795,496.75,446.585430721571,37.215452560131,"1","1",33,4684,12274,11572,702,2175,2187,4362,-380,9.211581947,8.6847340957,0.5268478513,1.6323277444,1.6413336906,3.273661435
"Maine",6210,1331479,517.5,466.398643914023,38.866553659502,"1","1",23,2026,12542,13842,-1300,1785,2169,3954,-628,9.4267722738,10.40387353,-0.977101256,1.3416351865,1.6302558652,2.9718910517
"Rhode Island",1087,1056426,90.5833333333333,102.894097646215,8.57450813718456,"1","1",44,819,10770,9849,921,4203,-3784,419,-521,10.198704282,9.326558818,0.8721454636,3.9800514481,-3.583277345,0.3967741034
"Montana",12987,1042520,1082.25,1245.73149675786,103.810958063155,"4","8",30,10447,12431,9597,2834,569,6853,7422,191,11.984037351,9.2519351989,2.7321021521,0.5485413283,6.606597053,7.1551383814
"Delaware",1433,952065,119.416666666667,150.514933329132,12.542911110761,"3","5",10,7989,10922,8945,1977,2556,3027,5583,429,11.52024032,9.4349523585,2.0852879612,2.6960020378,3.1928005354,5.8888025732
"South Dakota",6194,865454,516.166666666667,715.6937283784,59.6411440315334,"2","4",46,7535,12114,7296,4818,1632,941,2573,144,14.058477184,8.4671165209,5.5913606631,1.8939602744,1.0920444965,2.9860047709
"North Dakota",4952,757952,412.666666666667,653.339525458077,54.4449604548397,"2","4",38,1117,11824,6172,5652,1575,-6259,-4684,149,15.611435799,8.1490004865,7.4624353127,2.0795002862,-8.263868121,-6.184367835
"Alaska",7284,741894,607,981.811417803622,81.8176181503018,"4","9",2,4185,11255,4511,6744,2030,-4587,-2557,-2,15.213540389,6.097581581,9.1159588079,2.7439792971,-6.20031184,-3.456332543
"Vermont",3724,624594,310.333333333333,596.227309260095,49.6856091050079,"1","1",50,-1494,6035,5547,488,955,-2865,-1910,-72,9.6507345592,8.8703603314,0.7803742278,1.5271667778,-4.581500333,-3.054333556
"Wyoming",7358,585501,613.166666666667,1256.70152570192,104.725127141827,"4","8",56,-1054,7590,4838,2752,524,-4347,-3823,17,12.951599582,8.2555782318,4.6960213505,0.8941552281,-7.417734306,-6.523579078
